Question,Answer
"The Spectacled bear makes its habitat around the Andes tropical basin.
",True
"This is the basic food of the sea. Billions upon billions of these organisms live in the sea.
",Plankton
"This is the result of the gravitational pull from the moon and sun.
",Tides
"These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near.
",Sea Anemones
"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.
",Oyster
"This crab is not really a crab, but an arthropod. Its closest relative is the spider.
",Horseshoe crab
"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.
",Shipworms
"Squid and octopus are mollusks.
",True
"The Pacific lobster has large pincers and a spiny shell.
",False
"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.
",Sand Dollar
"The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?
",Emu
"Which of these mammals was brought to Australia by humans?
",The dingo
"Which of the following statements about echidnas, mammals native to Australia, is wrong?
",Echidnas are marsupials.
"The diet of the koala consists mainly of what plant species?
",Eucalyptus
"Which one of these Australian reptiles is the largest living crocodile in the world?
",The saltwater crocodile
"This Australian monotreme lays eggs and has a remarkable sense of electroception.
",Platypus
"Which Australian animal is the largest living carnivorous marsupial on Earth?
",The Tasmanian devil
"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?
",Kangaroo
"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?
",Males and females have different eye colour.
"What is the average weight of the Tasmanian Pygmy Possum?
",About 7g
"The Silkie chicken is the newest known breed.
",False
"Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?
",Horned lizard
"The venomous lizard Gila monster was named after what?
",The Gila River basin
"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?
",Indonesia
"Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?
",Autotomy
"Which of these statements about geckos is true?
",All of these
"Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?
",Earth lion
"Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?
",They lick their own eyes.
"The lizards which do not have legs are commonly known by what name?
",Glass lizards
"Which of these lizard species is not endangered?
",Eastern Bearded Dragon
"No lizard species live on which continent?
",Antarctica
"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.
",whale shark
"This sharks white belly and grey back make it difficult for prey to spot.
",great white shark
"Sharks have no bones.
",True
"Have sharks been around for about 400 million years?
",Yes
"Which of these sharks has a flat body like a stingray?
",angel shark
"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.
",goblin shark
"Which shark is the fastest swimmer?
",mako shark
"The zebra shark is very small and gentle and can be kept close to other fish.
",True
"What is the common name for baby sharks?
",pups
"Two thirds of a sharks brain is dedicated to its sense of smell.
",True
"How many recognized giraffe subspecies exist?
",9
"Which of these is not a subspecies of giraffe?
",East African Giraffe
"How long is a giraffes gestation period?
",14- 15 months
"How many pounds of leaves can a giraffe consume daily?
",140 pounds
"Giraffes need less sleep than nearly every other animal.
",True
"Giraffes were once thought to be a cross between a camel and a leopard.
",True
"What group of dogs does the beagle belong to?
",hound
"The beagle was developed mainly for tracking what animal?
",rabbits
"About how many years have beagles been around?
","2,000"
"Which of the following cartoon dogs was a beagle?
",Snoopy
"The beagle is not a good choice for a childrens pet because it is aggressive.
",False
"What is the typical lifespan of the beagle?
",12 years
"Beagles are sometimes used for termite detection in Australia.
",True
"Are beagles easy to housebreak?
",No
"What type of coat do beagles have?
",medium
"The puggle is a mix between a beagle and what dog?
",pug
"In what country was the goldfish first domesticated?
",China
"A goldfish can reach a weight of almost 10 lbs (4.5 kg)
",True
"How long can a goldfish live in optimal conditions?
",20 years
"The world record for the oldest goldfish is 49 years.
",True
"In Europe goldfish were first introduced to what country?
",Portugal
"What color goldfish were most prized by the Chinese royalty several centuries ago?
",Yellow
"Goldfish can die from overeating.
",True
"Is it true that goldfish only have a 3-second memory?
",No
"What color are wild goldfish?
",Green
"Goldfish are good parents. They nurse and protect their young until they grow up enough to defend themselves.
",False
"This bird is the fastest animal on the planet in its hunting method, the stoop.
",Peregrine Falcon
"The Barn Owl likes to sleep all day long.
",True
"Red-tailed Hawks are hunted in the USA because of their frequent attacks on domestic animals.
",False
"These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters.
",Harris Hawk
"This animal is the largest of the deer family and can be found in the northern parts of North America.
",Moose
"Which of these animals cannot be found in North America?
",Dingo
"This bear, also known as a Silvertip bear, is native to North America.
",Grizzly Bear
"The coyote lives in North America and also goes by this name.
",Prairie Wolf
"This North American animal is at the top of the food chain in the arctic region.
",Polar Bear
"This mammal is known for its black fur with a white stripe and for its apparent odor.
",Skunk
"What type of animal is the cottonmouth?
",Snake
"This creature belongs to the rodent family and is covered in sharp spines or quills.
",Porcupine
"How many species of skunk exist?
",11
"How many young skunks can be born in one litter?
",1-7
"What do skunks eat in the wild?
",All of these
"How much of an effective range do skunks odor glands have?
",15 feet
"Can skunks be trained to make good pets?
",Yes
"Sometimes skunks kill domestic animals.
",True
"How many subspecies of Red Fox are found in India?
",3
"Which of these coat colors is not found in wild Red Fox populations?
",Black
"What is the top speed that the Red Fox can reach?
",45 mph
"Which of these are eaten by the Red Fox?
",All of these
"How long is the Red Foxs lifespan in the wild?
",3 years
"Fox hunting was made illegal in the U.K. in 2005.
",True
"Do foxes hibernate in winter?
",No
"Approximately how long is a Red Foxs gestation period?
",55 days
"Is the Red Fox a protected species in most parts of the world?
",No
"What is an adult male rooster known as?
",Rooster
"What is the word used for someone that is afraid of chickens?
",Alektorphobic
"Which of the following is not a breed of chicken?
",Chinese Crested
"How many beats per minute does a chickens heart usually beat?
",280-315
"Which of the following color of egg is incorrect for a chicken egg?
",black
"All domestic chickens can be traced back to which bird?
",The Red Jungle Fowl
"Which of the following characters is a chicken?
",Foghorn Leghorn
"What is the average lifespan of a lion in the wild?
",10-14 years
"The lion is the largest member of the cat species.
",False
"Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?
",300
"What is the average maximal speed a lion can reach?
",35 mph / 56 km/h
"Lions are inactive about 20 hours per day.
",True
"Approximately what amount of meat does an adult male lionâ€™s diet require per day?
",15 lbs. (6.8 kg)
"Like most mammals lions can only breed with one male ensuring that the offspring belong to just one male.
",False
"Approximately how long is a lions gestation period?
",120 days
"Do white lions exsist in the wild?
",Yes
"All penguins are found exclusively in the Southern Hemisphere.
",True
"How many species of penguins live in warm or even tropical environments?
",4
"The larger the penguin species, the colder the region in which it is found.
",True
"Which of these is the largest species of penguins?
",Emperor Penguin
"Fossil records have shown a species of giant penguin that once stood 4 feet high.
",False
"What does the word penguin mean?
",Fat
"Large penguins can dive nearly 2,000 feet.
",True
"Which of these animals is NOT a natural predator of penguins?
",Polar Bear
"Penguins secrete salt from their nostrils.
",True
"Where can the polar bear be found?
",Arctic
"Polar bears are among penguinsâ€™ most dangerous natural enemies.
",False
"What color is a polar bears skin?
",Black
"A polar bear has white fur.
",False
"Approximately how many wild polar bears are estimated to live across the Arctic?
","20,000"
"Can polar bears be other colors besides white?
",Yes
"According to Guinness Book of World Records, the heaviest wild bear was caught in 1960 and weighed 1,960 lbs (890 kg). What was its length?
","Over 11 feet (3,40 m) tall"
"According to statistics from the past 3 decades of the 20th century, there is a significant drop in polar bearsâ€™ size.
",True
"A polar bear is used as the marketing icon for which of these popular products?
",Klondike Bars
"Brown Bear/polar bear hybrids occur naturally in the wild.
",True
"All dinosaurs were cold-blooded reptiles.
",False
"The smallest dinosaur known to science was the size of a chicken.
",True
"All birds are descendants of dinosaurs.
",True
"Pterodactyls were large flying dinosaurs.
",False
"Humans and human descendants hunted dinosaurs for food.
",False
"Some dinosaurs swam in the oceans.
",False
"Mammals lived alongside dinosaurs.
",True
"All dinosaurs died out due to a meteor hitting the Earth.
",False
"Tyrannosaurus Rex means Tyrant Lizard King.
",True
"The giant four-legged dinosaurs such as Apatosauras and Diplodocus are known as Theropods.
",False
"The Labrador breed comes in 3 different colors.
",True
"The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?
",55 - 80 pounds
"What is the estimated average lifespan of a crocodile?
",70+ years
"On which of these continents can you find the Salt Water Crocodile?
",Australia
"In 2006, a crocodile housed at the Australia Zoo, was estimated to be 130 years old.
",True
"A crocodile bite strength is up to how many pounds psi (per square inch)?
",3000 psi
"Crocodiles sex is determined by the temperature of their nest.
",True
"Which of these is NOT a species of crocodile?
",African Crocodile
"According to data from the year 2001, crocodiles were the second leading cause of animal related death worldwide, second to venomous snakes.
",False
"What is the average incubation period of crocodile eggs?
",80 days
"Beavers are the second largest rodents in the world after which animal?
",Capybara
"In Europe, the European Beaver (Castor fiber) was almost wiped out. It was driven to near extinction because of its fur and its scent gland that was used for medicinal purposes.
",True
"A beaver will build a dam even in dried up waterways if a recording of rushing water is played.
",True
"The North American Beaver is Canadas National symbol that adorns which Canadian coin?
",Nickle
"In the 17th century a ban was placed on eating meat during lent but the beaver meat was not included in that ban.
",True
"What is the gestation period of a beaver?
",4 months
"Can a beaver hold its breath underwater for more than 30 minutes?
",No
"Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.
",50 F (10 C)
"You can kill a butterfly if you hold its wings.
",False
"Butterflies taste their food through this organ.
",The legs
"Butterflies do not have lungs. They breathe trough this organ.
",The abdomen
"The butterfly is a relative to the crab and the lobster.
",True
"This is what mostly attracts a butterfly to a flower.
",The flowers nectar
"The expression social butterfly is often used to describe a woman. It means that she does this.
",Flits from one person to another
"n you call a dog, he comes right over to you. When you call a cat, she________________.
",takes a message
"Why does your cat interrupt you and want petting when youre on the phone?
",your cat thinks you are talking to him/ her
"Why do cats seem to be attracted to the one person who doesnt like cats?
",Kitty sees that person as unintimidating
"Cats are so curious because they are always looking for food.
",True
"Cats only purr when they are happy.
",False
"Why do cats suddenly race through the house?
",They have an overflow of pent-up energy.
"Why does a cat rub against your leg?
",To mark you by depositing his/ her scent
"Why does a cat bury his/ her waste?
",To protect their trail from predators
"A cats memory is about half as retentive as a dogs.
",False
"Why do cats always want in when they are out, and out when thery are in?
",To re-mark their scent
"Why do cats like to sleep in the sun?
",To make up for the drop in body temperature when they sleep
"Why do cats go crazy over catnip?
",Because it smells like a cat in heat
"How many known species of earthworm exist worldwide?
","5,500"
"The Giant Gippsland Earthworm, the largest species of earthworm, can reach nearly 10 feet in length.
",True
"How many hearts does a typical earthworm have?
",10
"Worm casts (waste) is richer in nutrients and essential particles than the first 6 inches of topsoil.
",True
"Is soil pollution one of the biggest threats to earthworms?
",Yes
"Why do earthworms come to the surface after rainstorms?
",No one knows for sure but there are four theories trying to explain this behaviour.
"Rich soil may contain up to 100,000 earthworms per square acre.
",False
"How many species of earthworm are native to Australia?
",650
"One of the biggest threats to earthworm survival in the UK is the New Zealand Roundworm which feeds on earthworms.
",False
"How many million of earthworms were exported from Canada and sold worldwide in 1980?
",370 million
"To which animal class do octopuses belong?
",Cephalopod
"As far as disguising is concerned, octopuses are among the most proficient species in nature.
",True
"Octopuses can live in fresh water.
",False
"Which of the following animals is the least related to the octopus?
",Eel
"How many arms do octopuses have?
",8
"Octopuses are known to kill sharks.
",True
"Octopuses can not be kept as pets.
",False
"Approximately how tall is a grizzly bear when standing on its hind legs?
",8 feet (2.4 m)
"Grizzly bears can be found in Europe and North America.
",False
"In which country is the grizzly bear listed as a threatened species?
",U.S.
"Grizzly bears are strict carnivores.
",False
"Although the grizzly bear is on the flag of this state, the last grizzly was shot there in 1922.
",California
"The grizzly bear is a subspecies of the brown bear.
",True
"Which of these do grizzly bears eat?
",All of these
"Grizzly bears hibernate through the winter.
",False
"How many fatal brown and grizzly bear attacks have been reported between 1900 and 2003 in North America?
",53
"Should you feed a small dog, such as a miniature poodle, the same amount of food you should a large dog, for example a great dane?
",No
"A water bowl should be kept within easy access for your dog at all times.
",True
"Which of these things is something you should never feed your dog?
",Chocolate
"As a general rule, the bigger a dog is the more it should be exercised (walks, playing fetch, etc.)
",True
"Which of these is only a dog food brand?
",Cesar
"Dogs sweat through their skin, like humans.
",False
"A dog should never be left with a child under this age because the child may injure the dog or him/herself.
",five
"The dodos other name was The Robert Don.
",True
"What were the dodos closest living relatives in nature?
",Pigeons
"Are their any complete dodo specimens anywhere in the world?
",No
"In what year was the dodo discovered?
",1598
"There is an intact dodo egg specimen housed in the East London museum in South Africa.
",True
"In what year did the dodo become extinct?
",1681
"The dodo was able to grow so large and become flightless because of the lack of natural predators on the island it inhabited.
",True
"Are there any complete dodo skeletons anywhere in the world?
",Yes
"The does â€œcheetahâ€ mean translated from Sanskrit?
",Spotted One
"The highest recorded speed a cheetah has obtained is 80 mph (130 km/h.)
",False
"What are cheetahs that have mutated patterning that creates blotches instead of spots called?
",King Cheetahs
"Cheetahs are only found in Africa.
",False
"Which of these is not a sound made by cheetahs?
",Roar
"Unlike most cats, cheetahs prefer to hunt during the day.
",True
"The ruler of the Mughal Empire Akbar the Great was very enamored with cheetahs and it is said he kept a stable of how many of these cats?
","1,000"
"The gestation period of a cheetah is about 90-95 days.
",True
"What is the typical lifespan of the cheetah?
",10-20 years
"In 2007 the amount of cheetahs left in the wild dropped to what number?
","12,000"
"Are frogs reptiles?
",No
"What frog is the most poisonous?
",Dart Frog
"Baby frogs are called pups.
",False
"Which of these types of frogs shares its name with an animal that is not a frog?
",horned frog
"Do all frogs live their whole life in water?
",No
"The African Bullfrog is the largest frog.
",False
"Are Red-eyed Tree Frogs carnivores?
",Yes
"What is the smallest frog?
",Brazilian Gold Frog
"There are frogs that can fly (or make fly-like movements)
",True
"Do frogs have gills?
",No
"Frogs can breathe underwater.
",True
"How many species of zebra are known to exist?
",4
"Which one of these is not a species of zebra?
",Savanna Zebra
"Can a zebra be ridden if trained properly?
",Yes
"How tall is a typical zebra at the shoulder?
",4 feet (1.2 m)
"Zebras are related to rhinos.
",True
"How fast can a zebra run?
",40 mph (65 km/h)
"Which of these are not a function of a zebras stripes?
",A warning sign to other zebras
"How long can a zebra live in captivity?
",40 years
"This type of ant causes a lot of allergic reactions in the USA.
",Fire ant
"This type of ant is considered the most venomous of all insects.
",Jack jumper ant
"About how long have ants been around on Earth?
",60 million years
"The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?
","300,000,000"
"What are the three basic parts of an ants body?
","Head, mesosoma, metasoma"
"All of these substances but one are a safe way to get rid of ants in the house. Which is the odd one?
",Wine
"What do we call the type of ants that plant seeds to grow food?
",Harvester ants
"Carpenter ants have become a problem because of the wood they eat.
",False
"What is special about the red ants of the Southwestern USA and Central and South America?
",They steal larvae for slaves.
"In 1966 was found the first ant fossil. From which geological period did it come from?
",Cretaceous
"Which statement about ants is untrue?
",Anteaters prefer ants to any other type of food.
"Warner Brothers highest grossing film of 1954 was about enormous ants that threatened a small town in the USA. What was the title of this movie?
",Them!
"How many species of flamingo are native to the Americas?
",4
"A flamingoâ€™s feathers can change color depending on its diet.
",True
"What do you call a group of flamingos?
",Pat
"All flamingos have 12 black flight feathers at the tips of each wing.
",True
"Which of these flamingo species is not native to the Americas?
",Lesser Flamingo
"Why do flamingos often stand on one leg?
",Noone knows for sure.
"Are baby flamingos pink?
",No
"What decade did the pop culture icon the plastic lawn flamingo come into existence?
",60s
"Once the dingo was introduced to Australia, the Thylacine population decreased steadily until the only viable populations were on the Island of Tasmania.
",True
"Are Thylacines marsupials?
",Yes
"When was the last reported killing of a Thylacine in Australia?
",1930
"What was the name of the zoo in which the last known Thylacine was placed in 1936?
",Hobart Zoo
"Why were Thylacines called Tigers?
",because of the stripes on their back
"Was there ever any evidence found after 1936 that Thylacines may have still been living in Australia?
",Yes
"It was proven that Thylacines killed some sheep in 1957.
",False
"What was the fine for shooting a Thylacine?
","$5,000"
"In what year were Thylacines classified as extinct?
",1986
"In 1984 what famous mogul offered a $100,000 reward for proof of the continued existence of Thylacines?
",Ted Turner
"What is a pangolin?
",A scaly ant-eating mammal
"What does the Malaysian word pangolin mean?
",Roll into a ball
"Pangolins have no teeth.
",True
"The tongue of a pangolin is so long that it is anchored to its pelvis.
",True
"Are pangolins related to anteaters and armadillos?
",No
"Can pangolins walk on their hind legs?
",Yes
"Which of these statements concerning the way in which pangolins defend themselves is false?
",They run away very quickly.
"The armor plates of pangolins are made of tough bone.
",False
"How many young pangolins can an adult pangolin have at one time?
",1-2
"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.
",Destruction of bears natural habitat
"Despite sharksâ€™ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man.
",4
"Although jellyfish may seem to you calm and harmless, an encounter with some species may leave you in excruciating pain and even kill you in minutes. Which of the following species of jellyfish is venomous enough to kill a man?
",Box jellyfish
"Weâ€™ve seen these animals as friendly and approachable but the truth is that theyâ€™re unpredictable. What is the average number of fatalities a year elephants cause?
",300-500
"Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?
",All of these
"Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?
",600-800
"If you happen to be near a big cat (e.g. lion, tiger, lynx) that seems to be about to attack you, which of the following shouldnâ€™t you do in any case?
",Turn back and run
"Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?
",Night
"Which of the following statements about snakes is not true?
",Snakes will attack almost always they sense the presence of a human.
"Surprisingly, the number one killer among animals with about 2-3 million human fatalities a year is a tiny insect. Which is it?
",Mosquito
"How many species of rhinoceros survive in the wild?
",5
"Which of these is NOT a species of rhinoceros?
",African Rhino
"The deaths caused by rhinos in India and Nepal exceed the total number of deaths caused by leopards and tigers.
",True
"Throughout the period from the 1970s to the end of the 20th century, the rhinoceros numbers declined by approximately what percentage?
",90%
"In Asian folklore the rhinoceros would stomp out fires in the jungle.
",True
"What is the life span of a rhino?
",40 years
"The species name White Rhinoceros is the result of mis-translation of the word white.
",True
"What is the gestation period of a rhino?
",16 months
"What is the #1 reason for the rhinos decline worldwide?
",Poaching
"Hyenas are only found in Africa.
",False
"Hyenas are most closely related to what creatures?
",Mongoose
"Hyenas were domesticated and eaten in ancient Egypt.
",True
"In which of these African environments are hyenas NOT found?
",Desert
"Are male hyenas the dominant members of their groups?
",No
"Which of these is not a species of hyena?
",Golden
"Are spotted hyenas considered an endangered species?
",No
"What is a group of hyenas called?
",Clan
"According to the Medieval Bestiary hyenas have the ability to change their sex.
",True
"What country was home to the Moa?
",New Zealand
"How many species of Moa are known to have existed?
",11-15
"The Moa was unique because even though it was a bird it had no wings.
",True
"What was the main reason for the extinction of the Moa?
",It was hunted by man for food.
"What animal was the number one predator of the Moa?
",An extinct species of eagle
"Was the male Moa larger than the female?
",No
"Is the Moa related to the kiwi, a living species of flightless bird from New Zealand?
",No
"In what year were the first Moa remains discovered by Europeans?
",1839
"Which of these European countries is not home to any wild native reindeer?
",Switzerland
"Both male and female reindeer grow antlers.
",True
"Approximately how many miles per year can the North American caribou travel?
","3,000"
"Reindeer are strict herbivores (vegetarians).
",False
"Approximately how many reindeer live in Eurasia?
",5 million
"Siberians  use reindeer to ride on.
",True
"Which of these is not a species of reindeer?
",Northern caribou
"Are reindeer antlers used as a food by humans?
",Yes
"How many species of pigeons and doves exist?
",300
"Pigeon and dove fossils are regularly found giving us a lot of information on pigeon evolution?
",False
"Pigeons are master nest builders.
",False
"Why are pigeon nests or eggs rarely seen?
",Pigeons are cliff dwellers and build their nests in high places.
"Pigeons were so valuable in wartime that some won medals for their service.
",True
"Pigeons are only one of seven species to pass the mirror test, which tests if animals recognize their own reflected image.
",True
"What is the common name for the pigeon that we see in the city streets and in our backyards?
",Rock Dove
"Dinosaurs lived during which geologic era?
",Mesozoic
"The word dinosaur is a combination of two Greek words. One word  means lizard. What does the other word mean?
",Terrifying
"Dinosaurs once roamed Colorado and Wyoming.
",True
"Name the theropod dinosaur with a long head, flat snout, and large sickle-shaped claw on the second toe of each foot.
",Velociraptor
"Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew.
",Pterodactyl
"The name brontosaurus is derived from the Greek words sauros, which means lizard, combined with another word. What does the word bronte mean?
",Thunder or roar
"The species Tyrannosaurus Rex  was herbivorous.
",False
"Which of these dinosaurs had dorsal plates and spikes?
",Stegosaurus
"According to history/science/geology, dinosaurs became extinct approximately how many years ago?
",65 million
"This reptile, endemic to new Zealand, is the only surviving rhynchocephalian.
",Tuatara
"Which one of these movies tells the story of Littlefoot, an Apatosaurus in search of the Great Valley where dinosaurs can live in peace?
",The Land Before Time
"Which of these books about prehistoric animals and dinosaurs was written by Arthur Conan Doyle?
",The Lost World
